"RED","GREEN","BLUE"
97.0025967482748,95.9445123894221,83.9105924715308
90.9628439194118,91.1856063059269,84.0253460138683
88.3423206051635,90.2217725344281,90.3362468631439
85.2602904813443,88.352350339145,93.3441779421553
102.449979061959,97.9491956884403,79.3684496074651
99.3656185267127,95.4052488777402,81.2926016935161
94.4253181381086,92.5369815609238,79.4359002586419
90.4155164213651,88.5530945569348,76.4584380566526
87.6248501031272,88.2340717942668,82.2752473198216
82.3606496834665,83.7577803052103,80.6203242037237
78.4738399706581,81.0412383507377,83.806969319533
82.6168151834309,84.8982193564145,86.4339254720457
83.3403592404417,85.971183921618,89.5634543020912
100.679771539334,95.7818763187231,75.7186959056363
100.670240471,91.268770507505,75.9555711133151
94.0926613247902,89.5164716558649,74.0434549367399
87.1615162577681,85.5329093727968,73.8005310062113
84.9555183013886,82.4575043361632,70.0552700043226
80.7293469147335,80.6761291883073,74.1092143964118
76.194575993979,76.5666604350489,73.2465710592275
72.0463539004099,73.9991217095047,77.4904801113812
75.8690740220441,77.833274550998,79.7751927245271
107.216769252699,95.0568964426476,76.6482642320734
103.455759631718,95.699728250722,70.4560334070913
97.8610689515641,92.4305913958339,70.8372030659571
92.6578083443606,87.372754621598,70.1808234346995
89.9747516884603,85.8076122080873,68.5591593804868
82.976204101445,79.7262043728854,66.342554559284
78.4240150219087,76.6699714319948,66.5507817863106
74.2262081285968,73.1192253134775,65.6772438785571
69.3023267091525,71.2068265849902,74.3846464929743
68.4918391450279,70.1000311728467,71.1332457050258
65.063742600081,66.9438721938254,70.1444494978207
104.725946795403,96.5132365693658,73.364315885454
103.475031527039,92.3707885970247,70.0546947820614
100.303829102333,89.8275926248237,66.7925070321462
95.2450052575349,88.8042556534916,66.6595666382105
88.4986777509145,82.7776569164613,64.905329739969
80.8727773189784,77.3672136636006,63.3107160212559
77.1249271042905,73.6758426328374,60.8846474774624
72.5020791100769,69.4834179334328,58.768204500691
65.8000156385871,65.6764823992897,62.3143662428861
62.5784699084825,64.4356170021056,66.947857967095
60.215347080604,61.4468793288217,64.0977080319137
106.665887352317,96.5918701288856,68.2470533186887
101.549164063615,93.1534709658208,66.8420691832876
99.1442203831564,87.2315391090297,64.9721057094743
96.2136401828131,84.200043901529,62.4982212948031
88.8476195574924,83.2919158503061,60.5129311487594
83.2404304649635,77.5439129650108,59.1743548356852
78.4191483962147,72.7973328973537,57.3259418766218
70.5954250647296,66.6159572025312,54.5059431505233
65.3213667894612,62.9536348376412,53.4034592815916
60.5045872936083,59.7551161356975,56.6834814270374
56.41719865824,57.9172069293796,60.9509007656016
102.330810197687,91.3583265555376,63.0905946514851
98.1128341305598,89.2520668231379,62.1808044065361
95.4128779441168,86.3284641960037,59.5557276708736
93.3374472245852,80.8090874087198,59.5880697638786
86.737675193812,76.4725115619792,54.6871670649359
77.0031410203994,70.8359961331978,52.9325810957647
68.5880169827025,63.3003701565317,49.123871864291
64.5321355950579,60.0968644478575,48.1412911233563
105.317214016692,93.5662722160986,65.2183731344638
99.0635558430805,86.709559499675,59.2657778866957
95.3845313540001,84.2349347203703,57.0506649843265
91.9056530538436,81.6843067052733,54.7301983881102
90.1809956537399,78.3828744185437,52.2263314908949
75.1724942125772,67.9958278578384,47.7743809710818
72.3180326488242,63.888278643638,43.8554297193712
108.703475605763,97.6911642056817,63.3588272702247
101.70107386453,89.5389298614613,60.1084932743015
95.5340670171702,83.0978756809381,53.9948863882941
93.4994656044833,79.5313411611125,51.6312177571207
88.4355668615258,76.3542028995661,49.237132893743
81.8574155082488,72.6037917561687,50.6015769028846
67.6265751532527,59.5415249122701,38.3046973910689
109.416023289294,99.7092623790814,67.0966670431516
103.716500178393,92.5369382666346,56.3373600776993
95.2865864664781,83.7198833080123,48.8382760366165
89.7935918549625,78.284715584291,45.6724108142734
86.0084727508632,73.3621146118909,45.9703597045517
82.6867583398676,70.7175329981747,42.3821687961268
71.1799572790764,61.6118149122522,35.2189321606702
113.168571245503,102.085346979595,64.8551292886369
107.476797763765,96.6817404585965,59.0189736491479
99.0779554605984,86.4265524829662,51.4446210003471
94.8524821080414,78.6097499234585,46.8438901693526
87.3509255099996,71.5106340268651,40.1520115326499
81.6776345994688,67.1644772204428,39.3705725247985
75.5034340349876,66.6065395668314,38.8778764228874
66.9353722799223,57.8221872022656,32.3639020791302
115.315361230453,105.01300597055,67.8915958787163
111.815291157551,99.3486417845879,59.9209689692713
102.658252684226,89.051817515837,53.8429384752207
98.8089271800313,82.9161290786024,43.7733487963321
91.0631758683784,75.3119837051985,41.8843366659638
84.1444661041788,69.7130175155145,36.4256622973301
76.8129467913989,62.1955965356531,32.5921879714701
116.372574394393,103.449366006076,62.9597745510993
109.131819126449,93.934001958216,54.816851187536
102.935614444642,85.0663398495899,46.4979086954475
94.9353431384817,77.5511341892078,40.1863952785212
87.2734612177001,69.9682869696296,33.9627458116629
79.6765423277517,65.5289363461393,35.0984379681272
73.7586843235597,58.3753805083973,29.3800885575399
120.188205006652,106.096233406092,64.2830032839366
116.596682926278,98.7594513961658,55.5571656326698
108.06757065222,90.5155050084323,47.4317111088625
101.788639034783,81.9570399485776,37.4941779305416
90.6815558895665,73.3514832740201,36.8215033070267
85.9395105564512,67.8352974686429,29.1211859382634
78.7138405229987,61.0939972609654,24.985085208604
119.198350757279,102.000896765952,59.3919137544962
113.000358959374,94.5219924569278,50.5530675965102
107.698054806664,88.5375006022021,41.5007956812807
95.6771622595877,76.7355196988411,32.4518221253599
91.0802637813002,72.0822205352089,30.4485634419175
81.1206328898297,64.5252059777288,28.6558567652354
74.3170843627968,57.6987786432275,22.9133450355028
