"","V1","sgBaseDiffb","sg102Diffb","sg113Diffb","sg130Diffb","sg103Diffb","sg91Diffb"
"25",1176,2.30709461478691e-06,2.82382729935182e-06,4.63646687422912e-06,3.4698789943545e-06,4.56474372558287e-06,-4.34685749371062e-06
"26",1175,9.04255030129158e-06,8.22153759216697e-06,5.88292826055065e-06,2.44184719709194e-06,7.85477149113515e-06,1.34752582305025e-06
"27",1174,8.14546758602702e-06,9.73967757184539e-06,8.80618992507103e-06,2.62115506870752e-06,7.48474524698303e-06,8.07211436582068e-06
"28",1173,4.71688373786278e-06,9.08221537592165e-06,7.55049146657539e-06,-5.30316614232705e-07,5.96932205323815e-06,3.29437462304597e-06
"29",1172,-1.87729908009629e-06,1.22418374166626e-06,5.83565618530653e-07,-8.40736575002312e-06,-9.83476507952023e-07,1.2649355306698e-06
"30",1171,-1.4964056922099e-06,-1.06824022907934e-06,-3.58615743231119e-07,-8.46333154025461e-06,-3.61549872039384e-06,-3.89478431436473e-06
"31",1170,3.77524573328768e-06,-4.79567052993625e-06,-1.84415429170675e-06,-7.34618916437099e-06,-4.75600545530616e-06,-3.89152417124448e-06
"32",1169,6.04919555968506e-06,-5.0803896957743e-06,-2.38153454936671e-06,-4.32512320624209e-06,-7.8841127792177e-06,-1.88055922321657e-06
"33",1168,4.98367211653926e-06,-4.87391396482307e-06,-1.12909623399133e-06,-3.81164826264435e-21,-4.40934357018274e-06,-5.02768404866306e-06
"34",1167,4.61473258676055e-06,-3.25470954841584e-06,2.23700153770083e-06,4.3251232062421e-06,4.52725207969962e-06,-4.09256633032854e-06
"35",1166,-2.92326166452041e-06,-5.43357186715517e-09,2.94553930917568e-06,7.34618916437097e-06,8.75728777826679e-06,-2.66299357208445e-06
"36",1165,-1.09758151716194e-06,5.91715976331334e-07,-1.55400155400154e-07,7.05494971229238e-06,7.24838487076251e-06,-8.75348427795959e-07
"37",1164,-2.03269923549645e-06,1.32524817839503e-06,5.50964187327813e-07,9.81574757798536e-06,8.10417243983678e-06,4.53159893719313e-07
"38",1163,-3.42695377660411e-06,1.05628637097169e-06,7.43855988611227e-07,4.23709934199446e-06,6.13667606674599e-06,-3.81328073635763e-06
"39",1162,-3.0330198162366e-06,-7.04190913981118e-07,-1.09595144560181e-06,-1.12474937649754e-07,3.09713596426765e-08,-1.77786471492766e-06
"40",1161,-5.79218761036931e-07,0,1.83057036203889e-06,-2.56518927847598e-06,-1.56595541210925e-06,-2.06910416700629e-06
"41",1160,2.23048125146027e-06,0,2.07236431012655e-06,-9.63263620606279e-06,-8.88878021745154e-06,2.38153454936665e-06
"42",1159,-8.61764498128119e-07,7.04190913981136e-07,-2.35925690471144e-06,-1.14202813503513e-05,-1.22603115610109e-05,3.63397286474208e-06
"43",1158,-2.67657750175234e-06,-1.76047728495283e-06,-5.49714465798382e-06,-1.14882009986905e-05,-1.10127634603159e-05,2.01205166240132e-06
"44",1157,-4.46150586010726e-06,-2.6896180742336e-07,-6.99952727924756e-06,-1.07035932210758e-05,-8.20632359093898e-06,1.52629033747919e-06
"45",1156,-1.03743187659271e-05,7.33532202063662e-07,-7.57276911123065e-06,-6.22361321662023e-06,-8.39486853472866e-06,-5.25643742426958e-06
"46",1155,-3.98009139267882e-06,1.30134046217964e-06,-8.03190593400382e-06,-2.49346612982976e-06,-6.05571584592564e-06,-6.19427192853765e-06
"47",1154,-1.25243831537538e-06,7.84607777614741e-07,-5.50529501578453e-06,3.88391717063047e-06,-2.38207790655343e-06,-5.85195690090798e-06
"48",1153,1.85556479262773e-06,2.40652897995559e-06,2.76568808037335e-07,3.50085035399721e-06,-7.05820985541283e-07,-8.78119549448217e-06
"49",1152,8.68665134399399e-06,2.96944702539105e-06,2.40381219402198e-06,4.63212001673542e-06,3.56116300172245e-06,-6.22904678848731e-06
"50",1151,9.99614216397433e-06,-1.52140012279806e-07,9.04255030129156e-06,9.4000793301492e-07,2.82871751403223e-06,-7.78304834248895e-06
"51",1150,9.93963301655609e-06,-2.51302698855149e-06,7.34455909281085e-06,-2.26525611140995e-06,-1.83328714797247e-06,-3.54051542862733e-06
"52",1149,1.78818850147522e-06,-4.16754962209502e-06,4.22840562700703e-06,-4.25068327166228e-06,-1.91696415472638e-06,-5.48030058519569e-06
"53",1148,-1.36599996739859e-06,-8.73011991893117e-06,-3.98824175047966e-07,-4.22894898419376e-06,-1.13452980585849e-06,-5.27328149705773e-06
"54",1147,-4.16754962209507e-06,-3.66766101031839e-06,-1.708858352215e-06,-1.93054808439424e-06,7.83521063241318e-07,-7.28152965915202e-06
"55",1146,-3.77361566172753e-06,-1.73059263968353e-06,3.39598241696146e-07,5.87858140305692e-06,2.80698322656366e-06,-4.92335946881402e-06
"56",1145,8.74805070609233e-08,1.18234523828932e-06,2.27720996951768e-06,9.95376030341067e-06,1.21516401236681e-05,4.81794817459151e-06
"57",1144,6.167104069202e-07,1.7392863546709e-06,1.2611320303628e-06,1.3855064904016e-05,1.25564412277699e-05,1.3306274145435e-05
"58",1143,2.01313837677473e-06,7.29348351725977e-06,5.13363870007228e-06,1.40044881303623e-05,1.21353394080667e-05,1.58872207823257e-05
"59",1142,3.89858781467173e-06,8.16557180193541e-06,4.40119321238201e-07,9.5348319124543e-06,1.11600132579154e-05,2.07111458859711e-05
"60",1141,1.39534125548111e-06,3.86652974065567e-06,2.93684559418825e-06,3.30687183834037e-06,2.05986709483214e-06,1.18609440287761e-05
